cat,F,M,uni
Prof. Associati/e,-36.44859813084112,63.55140186915887,"Roma - Università degli studi ""La Sapienza"""
Ricercatori/Ricercatrici,-40.707964601769916,59.29203539823009,"Roma - Università degli studi ""La Sapienza"""
Assegnisti/e di Ricerca,-40.563991323210416,59.436008676789584,"Roma - Università degli studi ""La Sapienza"""
Dottori/Dottoresse,-49.859154929577464,50.140845070422536,"Roma - Università degli studi ""La Sapienza"""
Dottorandi/e,-44.49463579898362,55.50536420101637,"Roma - Università degli studi ""La Sapienza"""
Laureati/e,-43.91210969767057,56.08789030232943,"Roma - Università degli studi ""La Sapienza"""
Iscritti/e,-41.190165766436955,58.80983423356305,"Roma - Università degli studi ""La Sapienza"""
Prof. Ordinari/e,-20.0,80.0,Viterbo - Università della Tuscia
Prof. Associati/e,-32.5,67.5,Viterbo - Università della Tuscia
Ricercatori/Ricercatrici,-47.72727272727273,52.27272727272727,Viterbo - Università della Tuscia
Assegnisti/e di Ricerca,-57.14285714285714,42.857142857142854,Viterbo - Università della Tuscia
Dottori/Dottoresse,-40.909090909090914,59.09090909090909,Viterbo - Università della Tuscia
Dottorandi/e,-35.714285714285715,64.28571428571429,Viterbo - Università della Tuscia
Laureati/e,-65.52706552706553,34.472934472934476,Viterbo - Università della Tuscia
Iscritti/e,-59.75733063700708,40.24266936299292,Viterbo - Università della Tuscia
Prof. Ordinari/e,-16.417910447761194,83.5820895522388,Perugia - Università degli studi
Prof. Associati/e,-41.57303370786517,58.42696629213483,Perugia - Università degli studi
Ricercatori/Ricercatrici,-50.79365079365079,49.2063492063492,Perugia - Università degli studi
Assegnisti/e di Ricerca,-40.4040404040404,59.59595959595959,Perugia - Università degli studi
Dottori/Dottoresse,-40.909090909090914,59.09090909090909,Perugia - Università degli studi
Dottorandi/e,-46.788990825688074,53.21100917431193,Perugia - Università degli studi
Laureati/e,-44.6360153256705,55.3639846743295,Perugia - Università degli studi
Iscritti/e,-44.87781194368021,55.122188056319786,Perugia - Università degli studi
Prof. Ordinari/e,-19.148936170212767,80.85106382978722,Siena - Università degli studi
Prof. Associati/e,-42.592592592592595,57.407407407407405,Siena - Università degli studi
Ricercatori/Ricercatrici,-49.39759036144578,50.602409638554214,Siena - Università degli studi
Assegnisti/e di Ricerca,-51.35135135135135,48.64864864864865,Siena - Università degli studi
Dottori/Dottoresse,-59.72222222222222,40.27777777777778,Siena - Università degli studi
Dottorandi/e,-56.15384615384615,43.84615384615385,Siena - Università degli studi
Laureati/e,-55.118110236220474,44.881889763779526,Siena - Università degli studi
Iscritti/e,-53.25877362128808,46.741226378711914,Siena - Università degli studi
Prof. Ordinari/e,-17.412935323383085,82.58706467661692,Pisa - Università degli studi
Prof. Associati/e,-33.04347826086956,66.95652173913044,Pisa - Università degli studi
Ricercatori/Ricercatrici,-36.53846153846153,63.46153846153846,Pisa - Università degli studi
Assegnisti/e di Ricerca,-31.379310344827587,68.62068965517241,Pisa - Università degli studi
Dottori/Dottoresse,-38.13559322033898,61.86440677966102,Pisa - Università degli studi
Dottorandi/e,-33.15217391304348,66.84782608695652,Pisa - Università degli studi
Laureati/e,-38.08299669482189,61.917003305178106,Pisa - Università degli studi
Iscritti/e,-36.713866564612836,63.28613343538717,Pisa - Università degli studi
Prof. Ordinari/e,-25.949367088607595,74.0506329113924,Firenze - Università degli studi
Prof. Associati/e,-36.94581280788177,63.05418719211823,Firenze - Università degli studi
Ricercatori/Ricercatrici,-38.009049773755656,61.990950226244344,Firenze - Università degli studi
Assegnisti/e di Ricerca,-42.857142857142854,57.14285714285714,Firenze - Università degli studi
Dottori/Dottoresse,-38.857142857142854,61.142857142857146,Firenze - Università degli studi
Dottorandi/e,-41.70854271356784,58.291457286432156,Firenze - Università degli studi
Laureati/e,-46.771037181996086,53.22896281800391,Firenze - Università degli studi
Iscritti/e,-44.43640572999566,55.563594270004344,Firenze - Università degli studi
Prof. Ordinari/e,-16.0,84.0,Camerino - Università degli studi
Prof. Associati/e,-39.56043956043956,60.43956043956044,Camerino - Università degli studi
Ricercatori/Ricercatrici,-37.03703703703704,62.96296296296296,Camerino - Università degli studi
Assegnisti/e di Ricerca,-54.385964912280706,45.614035087719294,Camerino - Università degli studi
Dottori/Dottoresse,-48.0,52.0,Camerino - Università degli studi
Dottorandi/e,-56.896551724137936,43.103448275862064,Camerino - Università degli studi
Laureati/e,-43.01075268817204,56.98924731182796,Camerino - Università degli studi
Iscritti/e,-42.02216996976823,57.97783003023178,Camerino - Università degli studi
Prof. Ordinari/e,-20.51282051282051,79.48717948717949,Ancona - Università Politecnica delle Marche
Prof. Associati/e,-43.22033898305085,56.779661016949156,Ancona - Università Politecnica delle Marche
Ricercatori/Ricercatrici,-43.0,56.99999999999999,Ancona - Università Politecnica delle Marche
Assegnisti/e di Ricerca,-46.25850340136054,53.74149659863946,Ancona - Università Politecnica delle Marche
Dottori/Dottoresse,-50.79365079365079,49.2063492063492,Ancona - Università Politecnica delle Marche
Dottorandi/e,-45.7286432160804,54.2713567839196,Ancona - Università Politecnica delle Marche
Laureati/e,-38.59516616314199,61.40483383685801,Ancona - Università Politecnica delle Marche
Iscritti/e,-38.30568398150666,61.69431601849333,Ancona - Università Politecnica delle Marche
Prof. Ordinari/e,-21.73913043478261,78.26086956521739,"Urbino - Università degli studi ""Carlo Bo"""
Prof. Associati/e,-38.88888888888889,61.111111111111114,"Urbino - Università degli studi ""Carlo Bo"""
Ricercatori/Ricercatrici,-52.38095238095239,47.61904761904761,"Urbino - Università degli studi ""Carlo Bo"""
Assegnisti/e di Ricerca,-50.0,50.0,"Urbino - Università degli studi ""Carlo Bo"""
Dottori/Dottoresse,-60.0,40.0,"Urbino - Università degli studi ""Carlo Bo"""
Dottorandi/e,-59.25925925925925,40.74074074074074,"Urbino - Università degli studi ""Carlo Bo"""
Laureati/e,-67.70833333333334,32.29166666666667,"Urbino - Università degli studi ""Carlo Bo"""
Iscritti/e,-61.37100509495137,38.628994905048636,"Urbino - Università degli studi ""Carlo Bo"""
Prof. Ordinari/e,-16.483516483516482,83.51648351648352,Ferrara - Università degli studi
Prof. Associati/e,-39.1025641025641,60.89743589743589,Ferrara - Università degli studi
Ricercatori/Ricercatrici,-52.41935483870967,47.58064516129033,Ferrara - Università degli studi
Assegnisti/e di Ricerca,-41.66666666666667,58.333333333333336,Ferrara - Università degli studi
Dottori/Dottoresse,-57.14285714285714,42.857142857142854,Ferrara - Università degli studi
Dottorandi/e,-43.96551724137931,56.03448275862068,Ferrara - Università degli studi
Laureati/e,-57.355466514024044,42.64453348597596,Ferrara - Università degli studi
Iscritti/e,-54.422824400143256,45.57717559985675,Ferrara - Università degli studi
Prof. Ordinari/e,-22.07792207792208,77.92207792207793,Bologna - Università degli studi
Prof. Associati/e,-41.42335766423358,58.57664233576643,Bologna - Università degli studi
Ricercatori/Ricercatrici,-40.117994100294986,59.882005899705014,Bologna - Università degli studi
Assegnisti/e di Ricerca,-37.27714748784441,62.72285251215559,Bologna - Università degli studi
Dottori/Dottoresse,-42.05607476635514,57.943925233644855,Bologna - Università degli studi
Dottorandi/e,-34.95850622406639,65.04149377593362,Bologna - Università degli studi
Laureati/e,-35.96004439511653,64.03995560488346,Bologna - Università degli studi
Iscritti/e,-34.092529862720625,65.90747013727936,Bologna - Università degli studi
Prof. Ordinari/e,-28.440366972477065,71.55963302752293,Modena e Reggio Emilia - Università degli studi
Prof. Associati/e,-40.54054054054054,59.45945945945946,Modena e Reggio Emilia - Università degli studi
Ricercatori/Ricercatrici,-40.38461538461539,59.61538461538461,Modena e Reggio Emilia - Università degli studi
Assegnisti/e di Ricerca,-30.373831775700932,69.62616822429906,Modena e Reggio Emilia - Università degli studi
Dottori/Dottoresse,-31.428571428571427,68.57142857142857,Modena e Reggio Emilia - Università degli studi
Dottorandi/e,-36.65338645418327,63.34661354581673,Modena e Reggio Emilia - Università degli studi
Laureati/e,-28.38114754098361,71.6188524590164,Modena e Reggio Emilia - Università degli studi
Iscritti/e,-24.612403100775193,75.3875968992248,Modena e Reggio Emilia - Università degli studi
Prof. Ordinari/e,-20.535714285714285,79.46428571428571,Parma - Università degli studi
Prof. Associati/e,-40.19607843137255,59.80392156862745,Parma - Università degli studi
Ricercatori/Ricercatrici,-36.09022556390977,63.90977443609023,Parma - Università degli studi
Assegnisti/e di Ricerca,-39.42307692307692,60.57692307692307,Parma - Università degli studi
Dottori/Dottoresse,-36.486486486486484,63.51351351351351,Parma - Università degli studi
Dottorandi/e,-44.79166666666667,55.208333333333336,Parma - Università degli studi
Laureati/e,-44.85245901639344,55.14754098360656,Parma - Università degli studi
Iscritti/e,-41.66877051249684,58.33122948750316,Parma - Università degli studi
Prof. Ordinari/e,-12.162162162162163,87.83783783783784,Trieste - Università degli studi
Prof. Associati/e,-32.87671232876712,67.12328767123287,Trieste - Università degli studi
Ricercatori/Ricercatrici,-35.714285714285715,64.28571428571429,Trieste - Università degli studi
Assegnisti/e di Ricerca,-44.85981308411215,55.140186915887845,Trieste - Università degli studi
Dottori/Dottoresse,-44.44444444444444,55.55555555555556,Trieste - Università degli studi
Dottorandi/e,-44.134078212290504,55.865921787709496,Trieste - Università degli studi
Laureati/e,-40.21956087824351,59.78043912175649,Trieste - Università degli studi
Iscritti/e,-37.14055901870098,62.85944098129902,Trieste - Università degli studi
Prof. Ordinari/e,-11.475409836065573,88.52459016393442,Udine - Università degli studi
Prof. Associati/e,-29.807692307692307,70.1923076923077,Udine - Università degli studi
Ricercatori/Ricercatrici,-31.506849315068493,68.4931506849315,Udine - Università degli studi
Assegnisti/e di Ricerca,-31.88405797101449,68.11594202898551,Udine - Università degli studi
Dottori/Dottoresse,-29.03225806451613,70.96774193548387,Udine - Università degli studi
Dottorandi/e,-32.231404958677686,67.76859504132231,Udine - Università degli studi
Laureati/e,-29.759036144578317,70.24096385542168,Udine - Università degli studi
Iscritti/e,-25.810602161605768,74.18939783839423,Udine - Università degli studi
Prof. Ordinari/e,-17.578125,82.421875,Padova - Università degli studi
Prof. Associati/e,-30.246913580246915,69.75308641975309,Padova - Università degli studi
Ricercatori/Ricercatrici,-33.579335793357934,66.42066420664207,Padova - Università degli studi
Assegnisti/e di Ricerca,-36.0,64.0,Padova - Università degli studi
Dottori/Dottoresse,-33.33333333333333,66.66666666666666,Padova - Università degli studi
Dottorandi/e,-37.93478260869565,62.06521739130435,Padova - Università degli studi
Laureati/e,-30.789056304520223,69.21094369547977,Padova - Università degli studi
Iscritti/e,-30.505474602782577,69.49452539721742,Padova - Università degli studi
Prof. Ordinari/e,-42.22222222222222,57.77777777777777,Venezia - Università IUAV
Prof. Associati/e,-35.294117647058826,64.70588235294117,Venezia - Università IUAV
Ricercatori/Ricercatrici,-45.45454545454545,54.54545454545454,Venezia - Università IUAV
Assegnisti/e di Ricerca,-57.14285714285714,42.857142857142854,Venezia - Università IUAV
Dottori/Dottoresse,-51.61290322580645,48.38709677419355,Venezia - Università IUAV
Dottorandi/e,-51.724137931034484,48.275862068965516,Venezia - Università IUAV
Laureati/e,-53.13390313390314,46.86609686609687,Venezia - Università IUAV
Iscritti/e,-54.784967067028276,45.21503293297172,Venezia - Università IUAV
Prof. Ordinari/e,-17.5,82.5,"Venezia - Università degli studi ""Cà Foscari"""
Prof. Associati/e,-35.55555555555556,64.44444444444444,"Venezia - Università degli studi ""Cà Foscari"""
Ricercatori/Ricercatrici,-38.46153846153847,61.53846153846154,"Venezia - Università degli studi ""Cà Foscari"""
Assegnisti/e di Ricerca,-45.45454545454545,54.54545454545454,"Venezia - Università degli studi ""Cà Foscari"""
Dottori/Dottoresse,-36.36363636363637,63.63636363636363,"Venezia - Università degli studi ""Cà Foscari"""
Dottorandi/e,-48.818897637795274,51.181102362204726,"Venezia - Università degli studi ""Cà Foscari"""
Laureati/e,-39.11671924290221,60.88328075709779,"Venezia - Università degli studi ""Cà Foscari"""
Iscritti/e,-32.52032520325203,67.47967479674797,"Venezia - Università degli studi ""Cà Foscari"""
Prof. Ordinari/e,-15.789473684210526,84.21052631578947,Verona - Università degli studi
Prof. Associati/e,-44.5945945945946,55.4054054054054,Verona - Università degli studi
Ricercatori/Ricercatrici,-43.39622641509434,56.60377358490566,Verona - Università degli studi
Assegnisti/e di Ricerca,-45.87155963302752,54.12844036697248,Verona - Università degli studi
Dottori/Dottoresse,-23.52941176470588,76.47058823529412,Verona - Università degli studi
Dottorandi/e,-33.62068965517241,66.37931034482759,Verona - Università degli studi
Laureati/e,-37.72727272727273,62.272727272727266,Verona - Università degli studi
Iscritti/e,-40.53656743844175,59.46343256155825,Verona - Università degli studi
Prof. Ordinari/e,-10.0,90.0,Trento - Università degli studi
Prof. Associati/e,-22.58064516129032,77.41935483870968,Trento - Università degli studi
Ricercatori/Ricercatrici,-22.58064516129032,77.41935483870968,Trento - Università degli studi
Assegnisti/e di Ricerca,-40.16064257028113,59.83935742971887,Trento - Università degli studi
Dottori/Dottoresse,-31.46067415730337,68.53932584269663,Trento - Università degli studi
Dottorandi/e,-34.65160075329567,65.34839924670433,Trento - Università degli studi
Laureati/e,-26.808834729626806,73.19116527037319,Trento - Università degli studi
Iscritti/e,-26.14213197969543,73.85786802030458,Trento - Università degli studi
Prof. Ordinari/e,-16.666666666666664,83.33333333333334,Bolzano - Libera Università
Prof. Associati/e,-23.809523809523807,76.19047619047619,Bolzano - Libera Università
Ricercatori/Ricercatrici,-21.428571428571427,78.57142857142857,Bolzano - Libera Università
Assegnisti/e di Ricerca,-31.32530120481928,68.67469879518072,Bolzano - Libera Università
Dottori/Dottoresse,-17.647058823529413,82.35294117647058,Bolzano - Libera Università
Dottorandi/e,-19.19191919191919,80.8080808080808,Bolzano - Libera Università
Laureati/e,-20.833333333333336,79.16666666666666,Bolzano - Libera Università
Iscritti/e,-23.802395209580837,76.19760479041916,Bolzano - Libera Università
Prof. Ordinari/e,-26.666666666666668,73.33333333333333,Pavia - Università degli studi
Prof. Associati/e,-43.82022471910113,56.17977528089888,Pavia - Università degli studi
Ricercatori/Ricercatrici,-42.48366013071895,57.51633986928104,Pavia - Università degli studi
Assegnisti/e di Ricerca,-53.90070921985816,46.09929078014184,Pavia - Università degli studi
Dottori/Dottoresse,-48.421052631578945,51.578947368421055,Pavia - Università degli studi
Dottorandi/e,-42.032967032967036,57.96703296703297,Pavia - Università degli studi
Laureati/e,-49.7001998667555,50.299800133244496,Pavia - Università degli studi
Iscritti/e,-45.98493552917146,54.01506447082854,Pavia - Università degli studi
Prof. Ordinari/e,-27.586206896551722,72.41379310344827,Brescia - Università degli studi
Prof. Associati/e,-38.18181818181819,61.81818181818181,Brescia - Università degli studi
Ricercatori/Ricercatrici,-39.21568627450981,60.78431372549019,Brescia - Università degli studi
Assegnisti/e di Ricerca,-37.66233766233766,62.33766233766234,Brescia - Università degli studi
Dottori/Dottoresse,-34.04255319148936,65.95744680851064,Brescia - Università degli studi
Dottorandi/e,-30.434782608695656,69.56521739130434,Brescia - Università degli studi
Laureati/e,-24.017957351290683,75.98204264870931,Brescia - Università degli studi
Iscritti/e,-24.39883913764511,75.60116086235489,Brescia - Università degli studi
Prof. Ordinari/e,-20.689655172413794,79.3103448275862,Bergamo - Università degli studi
Prof. Associati/e,-24.390243902439025,75.60975609756098,Bergamo - Università degli studi
Ricercatori/Ricercatrici,-45.94594594594595,54.054054054054056,Bergamo - Università degli studi
Assegnisti/e di Ricerca,-35.13513513513514,64.86486486486487,Bergamo - Università degli studi
Dottori/Dottoresse,-30.0,70.0,Bergamo - Università degli studi
Dottorandi/e,-25.396825396825395,74.60317460317461,Bergamo - Università degli studi
Laureati/e,-25.85949177877429,74.14050822122572,Bergamo - Università degli studi
Iscritti/e,-24.83241037598368,75.16758962401632,Bergamo - Università degli studi
Prof. Ordinari/e,-27.61904761904762,72.38095238095238,Milano-Bicocca - Università degli studi
Prof. Associati/e,-36.84210526315789,63.1578947368421,Milano-Bicocca - Università degli studi
Ricercatori/Ricercatrici,-35.199999999999996,64.8,Milano-Bicocca - Università degli studi
Assegnisti/e di Ricerca,-48.34123222748815,51.65876777251185,Milano-Bicocca - Università degli studi
Dottori/Dottoresse,-30.37974683544304,69.62025316455697,Milano-Bicocca - Università degli studi
Dottorandi/e,-35.41076487252124,64.58923512747874,Milano-Bicocca - Università degli studi
Laureati/e,-42.0857596611964,57.9142403388036,Milano-Bicocca - Università degli studi
Iscritti/e,-38.828509323875984,61.171490676124016,Milano-Bicocca - Università degli studi
Prof. Ordinari/e,-10.0,90.0,"Milano - Università Cattolica del ""Sacro Cuore"""
Prof. Associati/e,-48.57142857142857,51.42857142857142,"Milano - Università Cattolica del ""Sacro Cuore"""
Ricercatori/Ricercatrici,-54.90196078431373,45.09803921568628,"Milano - Università Cattolica del ""Sacro Cuore"""
Assegnisti/e di Ricerca,-61.904761904761905,38.095238095238095,"Milano - Università Cattolica del ""Sacro Cuore"""
Dottori/Dottoresse,-57.14285714285714,42.857142857142854,"Milano - Università Cattolica del ""Sacro Cuore"""
Dottorandi/e,-33.33333333333333,66.66666666666666,"Milano - Università Cattolica del ""Sacro Cuore"""
Laureati/e,-58.95953757225434,41.040462427745666,"Milano - Università Cattolica del ""Sacro Cuore"""
Iscritti/e,-56.132756132756136,43.867243867243864,"Milano - Università Cattolica del ""Sacro Cuore"""
Prof. Ordinari/e,-23.058823529411764,76.94117647058823,Milano - Politecnico
Prof. Associati/e,-30.269413629160063,69.73058637083994,Milano - Politecnico
Ricercatori/Ricercatrici,-32.299741602067186,67.70025839793283,Milano - Politecnico
Assegnisti/e di Ricerca,-35.992217898832685,64.00778210116731,Milano - Politecnico
Dottori/Dottoresse,-36.02693602693603,63.97306397306397,Milano - Politecnico
Dottorandi/e,-34.5707656612529,65.4292343387471,Milano - Politecnico
Laureati/e,-33.01503094606543,66.98496905393458,Milano - Politecnico
Iscritti/e,-31.60725659958952,68.39274340041048,Milano - Politecnico
Prof. Ordinari/e,-35.57692307692308,64.42307692307693,Milano - Università degli studi
Prof. Associati/e,-43.76899696048632,56.23100303951368,Milano - Università degli studi
Ricercatori/Ricercatrici,-49.642857142857146,50.357142857142854,Milano - Università degli studi
Assegnisti/e di Ricerca,-53.61842105263158,46.381578947368425,Milano - Università degli studi
Dottori/Dottoresse,-51.07913669064749,48.92086330935252,Milano - Università degli studi
Dottorandi/e,-49.07161803713528,50.92838196286472,Milano - Università degli studi
Laureati/e,-49.95685936151855,50.043140638481454,Milano - Università degli studi
Iscritti/e,-41.15876598946576,58.84123401053424,Milano - Università degli studi
Prof. Ordinari/e,-100.0,0.0,"Novedrate (CO) - Università telematica ""e-Campus"""
Prof. Associati/e,-21.052631578947366,78.94736842105263,"Novedrate (CO) - Università telematica ""e-Campus"""
Ricercatori/Ricercatrici,-50.0,50.0,"Novedrate (CO) - Università telematica ""e-Campus"""
Assegnisti/e di Ricerca,-0.0,0.0,"Novedrate (CO) - Università telematica ""e-Campus"""
Dottori/Dottoresse,-0.0,0.0,"Novedrate (CO) - Università telematica ""e-Campus"""
Dottorandi/e,-0.0,0.0,"Novedrate (CO) - Università telematica ""e-Campus"""
Laureati/e,-21.030756442227762,78.96924355777224,"Novedrate (CO) - Università telematica ""e-Campus"""
Iscritti/e,-24.272675413576724,75.72732458642328,"Novedrate (CO) - Università telematica ""e-Campus"""
Prof. Ordinari/e,-22.5,77.5,Varese - Università dell' Insubria
Prof. Associati/e,-34.177215189873415,65.82278481012658,Varese - Università dell' Insubria
Ricercatori/Ricercatrici,-51.162790697674424,48.837209302325576,Varese - Università dell' Insubria
Assegnisti/e di Ricerca,-43.24324324324324,56.75675675675676,Varese - Università dell' Insubria
Dottori/Dottoresse,-43.75,56.25,Varese - Università dell' Insubria
Dottorandi/e,-45.13274336283185,54.86725663716814,Varese - Università dell' Insubria
Laureati/e,-45.5743879472693,54.4256120527307,Varese - Università dell' Insubria
Iscritti/e,-38.839147885149735,61.160852114850265,Varese - Università dell' Insubria
Prof. Ordinari/e,-33.33333333333333,66.66666666666666,"Castellanza - Università ""Carlo Cattaneo"""
Prof. Associati/e,-50.0,50.0,"Castellanza - Università ""Carlo Cattaneo"""
Ricercatori/Ricercatrici,-66.66666666666666,33.33333333333333,"Castellanza - Università ""Carlo Cattaneo"""
Assegnisti/e di Ricerca,-33.33333333333333,66.66666666666666,"Castellanza - Università ""Carlo Cattaneo"""
Dottori/Dottoresse,-100.0,0.0,"Castellanza - Università ""Carlo Cattaneo"""
Dottorandi/e,-0.0,0.0,"Castellanza - Università ""Carlo Cattaneo"""
Laureati/e,-30.493273542600896,69.50672645739911,"Castellanza - Università ""Carlo Cattaneo"""
Iscritti/e,-24.8,75.2,"Castellanza - Università ""Carlo Cattaneo"""
Prof. Ordinari/e,-24.193548387096776,75.80645161290323,Genova - Università degli studi
Prof. Associati/e,-37.58620689655172,62.41379310344828,Genova - Università degli studi
Ricercatori/Ricercatrici,-42.028985507246375,57.971014492753625,Genova - Università degli studi
Assegnisti/e di Ricerca,-43.05555555555556,56.94444444444444,Genova - Università degli studi
Dottori/Dottoresse,-40.20618556701031,59.79381443298969,Genova - Università degli studi
Dottorandi/e,-38.10240963855422,61.897590361445786,Genova - Università degli studi
Laureati/e,-39.226519337016576,60.773480662983424,Genova - Università degli studi
Iscritti/e,-36.676509520415436,63.323490479584564,Genova - Università degli studi
Prof. Ordinari/e,-18.75,81.25,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro"""
Prof. Associati/e,-45.45454545454545,54.54545454545454,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro"""
Ricercatori/Ricercatrici,-54.166666666666664,45.83333333333333,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro"""
Assegnisti/e di Ricerca,-72.0,28.000000000000004,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro"""
Dottori/Dottoresse,-50.0,50.0,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro"""
Dottorandi/e,-60.0,40.0,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro"""
Laureati/e,-62.32771822358346,37.67228177641654,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro"""
Iscritti/e,-58.45054699709756,41.54945300290243,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro"""
Prof. Ordinari/e,-17.627118644067796,82.37288135593221,Torino - Politecnico
Prof. Associati/e,-31.695331695331696,68.3046683046683,Torino - Politecnico
Ricercatori/Ricercatrici,-36.283185840707965,63.716814159292035,Torino - Politecnico
Assegnisti/e di Ricerca,-36.016949152542374,63.983050847457626,Torino - Politecnico
Dottori/Dottoresse,-26.903553299492383,73.09644670050761,Torino - Politecnico
Dottorandi/e,-32.06831119544592,67.93168880455408,Torino - Politecnico
Laureati/e,-29.601873536299767,70.39812646370024,Torino - Politecnico
Iscritti/e,-28.780968815481327,71.21903118451868,Torino - Politecnico
Prof. Ordinari/e,-31.690140845070424,68.30985915492957,Torino - Università degli studi
Prof. Associati/e,-42.62295081967213,57.377049180327866,Torino - Università degli studi
Ricercatori/Ricercatrici,-48.214285714285715,51.78571428571429,Torino - Università degli studi
Assegnisti/e di Ricerca,-46.2962962962963,53.70370370370371,Torino - Università degli studi
Dottori/Dottoresse,-45.45454545454545,54.54545454545454,Torino - Università degli studi
Dottorandi/e,-53.30739299610895,46.69260700389105,Torino - Università degli studi
Laureati/e,-50.809935205183585,49.190064794816415,Torino - Università degli studi
Iscritti/e,-43.66848580149848,56.33151419850153,Torino - Università degli studi
